t,tf0,ts0
434899.52999999997,876.9741734584006,828.5625837048734
23679.239999999998,870.62030039131,874.8483353725933
148408.25999999998,686.8857943294335,713.7429166447969
329416.776,696.2149458824306,708.2473124598606
310693.65599999996,854.8808688357914,850.3720154317432
172500.50999999998,640.0092599329807,648.4523051677099
463947.89999999997,871.5341281718526,867.1853208672381
121865.484,869.7963188703901,881.3468479384456
397122.882,850.9410686470362,858.0713091937567
312868.842,832.01979864375,852.524439267932
441177.282,857.8224481449902,863.8559875393063
229137.948,799.6099220253946,826.8338916686798
46394.79,874.4565308580416,869.5345317065068
21173.646,870.8038963198961,875.2601176902305
66990.222,576.2812754488017,577.3962809671732
146233.074,718.7368139077902,751.2569927769227
139074.234,823.2122460802369,849.3555965026255
176768.28,868.0843868325145,821.4178670355344
483717.312,848.8641418907075,867.9473735895489
176107.464,865.2540481447837,808.031041878814
238609.644,682.1767174283775,690.9600123084651
507479.154,740.7124396745802,738.0526764668914
75635.898,567.3782400325542,577.9086807790168
5203.9259999999995,861.9228199672011,803.3856197808921
82739.67,569.7637209222869,565.6264561707485
52287.066,805.3855478048329,834.0811036567203
34885.578,865.089500198083,868.54350534218
493189.008,772.137879738355,788.5242574222199
313722.396,828.6077055294321,842.5273072246277
97910.904,868.5007205395104,879.6819362641099
107107.26,873.4475298166022,871.8441651394468
243345.492,681.3155385737375,678.0053059894517
399298.06799999997,852.7597745618406,852.3095045291765
292603.81799999997,868.5201142159053,873.8760086151982
242078.92799999999,679.3026496397337,683.9424366916103
290621.37,869.9691122205301,877.1351523156749
282306.102,870.2680754190895,873.3187328379969
232194.22199999998,761.767103345229,788.8102161269404
281755.42199999996,859.9372937924644,868.8675412567708
303314.544,875.5366300433507,882.2227419811771
71918.80799999999,570.0061857663835,572.6644230275439
434679.258,878.0862486214767,819.9290102335857
472455.90599999996,872.6335485595425,868.8351442548134
336080.004,706.6049726523611,705.5482364674367
226494.68399999998,828.3581005133099,848.7557754526222
400371.894,834.9864498969404,839.5512153337946
86787.16799999999,883.8935326964124,593.35185085007
43641.39,867.8055712823509,874.3114912516936
108566.56199999999,872.2712126671687,870.3641999337182
28112.214,869.687201720102,874.2266048079168
320853.702,750.4915379965362,762.4871448322415
297504.87,870.0947456876877,864.7608150822105
369423.678,868.1726845812672,874.0459632894148
219969.126,865.1185919586177,869.42404783592
266859.528,872.1113904392714,852.2786782884319
357666.66,867.8045258967886,878.3914148317848
189241.182,870.5875736964548,865.7147211464304
156255.44999999998,647.5185932552166,656.377581310101
4432.974,872.2439378485243,770.6676586914774
118313.598,878.3628714019446,875.0183922308468
27396.329999999998,870.7834350000516,881.4943914497002
317577.15599999996,785.7753376170131,815.9470519555623
210056.886,874.7003981030641,883.3262986210891
27974.543999999998,887.5666714195899,864.8893962971409
234837.486,711.7911633748786,741.6399724770475
475291.908,885.5315387231924,874.1235643276073
255185.112,672.6871608017918,681.8405832167659
335501.79,705.2787200165284,703.7052186311043
174317.754,870.7778682454157,734.6113505290075
235993.914,692.2716217733667,730.631891049722
198465.072,877.5287239901608,871.931172977495
145269.384,745.2482599434394,772.0339291003613
507892.164,728.1912918405046,720.5633990807838
452879.23199999996,859.2908837585804,877.117706289638
446491.344,870.2497392253514,873.156733756783
220437.204,868.5997608050204,880.0078534118717
70707.31199999999,573.0905947979309,572.3188624626168
55811.418,756.5939203200255,788.8883283043514
74204.12999999999,579.2779920467616,573.3527775483885
424629.348,721.1215194283266,711.0939635218917
144773.772,753.747564427123,792.8786535114328
185469.024,873.970219886205,868.9857681077541
10765.794,880.6765232852133,866.9022912295272
385090.524,876.4206352442941,876.2952145811648
348745.644,877.9047694199238,818.6956672560342
162230.32799999998,652.4448105592014,650.4367198122262
98048.574,874.4861797122337,871.0018250768841
170270.256,639.2290437399595,639.3953105204035
231065.32799999998,777.7199560908499,800.510252703014
